Ort,Datum,Wert
Sants,2019-04-05 24,24
Sants,2019-04-06 01,33
Sants,2019-04-06 02,31
Sants,2019-04-06 03,29
Sants,2019-04-06 04,21
Sants,2019-04-06 05,26
Sants,2019-04-06 06,14
Sants,2019-04-06 07,13
Sants,2019-04-06 08,11
Sants,2019-04-06 09,20
Sants,2019-04-06 10,22
Sants,2019-04-06 11,13
Sants,2019-04-06 12,12
Sants,2019-04-06 13,13
Sants,2019-04-06 14,12
Sants,2019-04-06 15,12
Sants,2019-04-06 16,13
Sants,2019-04-06 17,11
Sants,2019-04-06 18,10
Sants,2019-04-06 19,11
Sants,2019-04-06 20,13
Sants,2019-04-06 21,22
Sants,2019-04-06 22,32
Sants,2019-04-06 23,41
Sants,2019-04-06 24,69
Sants,2019-04-07 01,71
Sants,2019-04-07 02,48
Sants,2019-04-07 03,31
Sants,2019-04-07 04,29
Sants,2019-04-07 05,23
Sants,2019-04-07 06,16
Sants,2019-04-07 07,15
Sants,2019-04-07 08,14
Sants,2019-04-07 09,17
Sants,2019-04-07 10,16
Sants,2019-04-07 11,10
Sants,2019-04-07 12,10
Sants,2019-04-07 13,11
Sants,2019-04-07 14,14
Sants,2019-04-07 15,14
Sants,2019-04-07 16,20
